marker,LG,Composite Map Position,[BGx(BLxNL)]95,GH1x35,Mullica Queen,Crimson Queen,Mullica Queen,Stevens,Polashock et al. (2014) scaffold,Predicted CDS
scaffold_31290_2119,3,25.97,NA,26.49,NA,NA,NA,NA,>scaffold_31290,NA
scaffold_31290_2139,3,25.97,NA,26.49,NA,NA,NA,NA,#N/A,#N/A
scaffold_49616_2230,3,25.97,NA,26.49,NA,NA,NA,NA,>scaffold_49616,NA
scaffold_5919_4165,3,25.97,NA,26.49,NA,NA,NA,NA,>scaffold_5919,g8897.t1
SCF38340,3,25.97,NA,26.49,34.03,NA,NA,NA,>scaffold_784,g1838.t1
scaffold_51167_1574,3,25.97,NA,NA,31.65,NA,17.96,NA,>scaffold_51167,NA
scaffold_51167_1566,3,25.97,NA,NA,31.65,NA,17.96,NA,#N/A,#N/A
scaffold_24357_1562,3,25.97,NA,NA,NA,NA,17.96,NA,>scaffold_24357,NA
scaffold_81716_1205,3,25.97,NA,NA,NA,NA,17.96,NA,#N/A,#N/A
scaffold_81716_1211,3,25.97,NA,NA,NA,NA,17.96,NA,#N/A,#N/A
scaffold_54785_1107,3,26.26,34.58,NA,NA,27.03,NA,NA,>scaffold_54785,g33983.t1
scaffold_30061_2463,3,26.26,34.58,NA,34.03,NA,NA,NA,>scaffold_30061,g26078.t1
scaffold_30061_2502,3,26.26,34.58,NA,34.03,NA,NA,NA,#N/A,#N/A
scaffold_3812_6378,3,26.57,34.58,NA,35.22,27.03,17.96,NA,>scaffold_3812,NA
scaffold_3812_6384,3,26.57,34.58,NA,35.22,27.03,17.96,NA,#N/A,#N/A
scaffold_23031_2145,3,26.57,NA,NA,34.03,NA,17.96,NA,#N/A,#N/A
scaffold_46112_2395,3,26.57,NA,NA,34.63,27.03,17.96,13.47,>scaffold_46112,NA
scaffold_15208_4395,3,26.57,NA,NA,35.22,NA,17.96,NA,>scaffold_15208,NA
1trimcontig439466,3,26.57,NA,NA,35.22,NA,17.96,13.47,#N/A,#N/A
SCF9815,3,26.57,NA,NA,35.22,NA,NA,NA,>scaffold_22351,g22092.t1
scaffold_108520_514,3,26.57,NA,NA,NA,27.03,NA,NA,>scaffold_108520,NA
scaffold_2565_10935,3,26.57,NA,NA,NA,27.03,NA,13.47,>scaffold_2565,g4679.t1
scaffold_73187_404,3,26.57,NA,NA,NA,27.03,NA,NA,>scaffold_73187,NA
scaffold_13388_3745,3,28.64,NA,NA,NA,29.41,NA,13.47,>scaffold_13388,NA
SCF110888,3,28.64,NA,NA,NA,29.41,NA,13.47,>scaffold_32739,NA
scaffold_49616_2260,3,28.64,NA,NA,NA,29.41,NA,13.47,#N/A,#N/A
scaffold_42014_1292,3,29.67,37.68,NA,NA,33.59,NA,NA,>scaffold_42014,NA
scaffold_21160_2395,3,29.67,37.68,33.07,NA,33.59,NA,NA,>scaffold_21160,NA
scaffold_36500_3209,3,30.23,38.84,NA,NA,NA,NA,13.47,>scaffold_36500,g28732.t1
scaffold_24160_2138,3,30.23,38.84,33.63,40,NA,17.96,13.47,>scaffold_24160,g23140.t1
scaffold_18210_2781,3,30.23,38.84,33.63,40,NA,17.96,13.47,>scaffold_18210,NA
scaffold_42014_1307,3,30.23,NA,33.63,NA,NA,NA,NA,#N/A,#N/A
scaffold_57070_1345,3,30.23,NA,33.63,40,33.59,17.96,13.47,>scaffold_57070,NA
scaffold_18210_2626,3,30.23,NA,33.63,40,NA,19.45,NA,#N/A,#N/A
scaffold_18210_2746,3,30.23,NA,33.63,40,NA,19.45,NA,#N/A,#N/A
scaffold_81500_1424,3,30.23,NA,NA,NA,33.59,NA,13.47,>scaffold_81500,g38529.t1
scaffold_37951,3,30.23,NA,NA,NA,33.59,NA,NA,>scaffold_7486,g10558.t1
scaffold_1478_9928,3,30.23,NA,NA,NA,NA,NA,13.47,>scaffold_1478,g3008.t1
scaffold_44298_2166,3,30.23,NA,NA,NA,NA,NA,13.47,>scaffold_44298,NA
scaffold_90420_584,3,30.26,NA,NA,NA,34.18,NA,13.47,>scaffold_90420,NA
scaffold_104859_376,3,32.35,NA,NA,NA,NA,19.45,NA,>scaffold_104859,NA
scaffold_58370_1534,3,32.77,43.09,NA,NA,NA,NA,17.96,>scaffold_58370,NA
scaffold_90420_530,3,32.77,43.09,NA,NA,34.18,NA,NA,#N/A,#N/A
scaffold_90420_542,3,32.77,43.09,NA,NA,34.18,NA,NA,#N/A,#N/A
scaffold_90420_549,3,32.77,43.09,NA,NA,34.18,NA,NA,#N/A,#N/A
scaffold_90420_626,3,32.77,43.09,NA,NA,34.18,NA,NA,#N/A,#N/A
scaffold_88664_663,3,33.36,43.68,36.76,43.57,NA,NA,NA,>scaffold_88664,NA
scaffold_13562_2793,3,33.36,43.68,36.76,43.57,33.59,22.44,NA,>scaffold_13562,g16023.t1
scaffold_5595_5982,3,33.36,43.68,36.76,43.57,34.78,22.44,NA,>scaffold_5595,NA
scaffold_61575_203,3,33.36,43.68,36.76,44.17,NA,19.45,13.47,>scaffold_61575,NA
scaffold_70042_940,3,33.36,NA,38.18,NA,NA,17.96,13.47,>scaffold_70042,NA
scaffold_70042_968,3,33.36,NA,38.18,NA,NA,17.96,13.47,#N/A,#N/A
82171_K70,3,33.36,NA,NA,43.57,34.78,NA,NA,>scaffold_57363,NA
scaffold_15548_1005,3,33.36,NA,NA,43.57,NA,NA,NA,>scaffold_15548,NA
scaffold_113156_448,3,34.75,NA,38.46,43.57,NA,22.44,NA,>scaffold_113156,NA
SCF21119,3,34.75,NA,NA,44.17,35.97,NA,NA,>scaffold_131644,NA
scaffold_2087_7048,3,34.78,46.81,38.18,44.17,NA,22.44,20.94,>scaffold_2087,g3993.t1
scaffold_29047_2048,3,34.78,46.81,38.18,45.95,NA,NA,NA,>scaffold_29047,g25615.t1
scaffold_47624_1052,3,34.78,46.81,38.18,44.17,35.97,22.44,NA,>scaffold_47624,NA
scaffold_29047_2076,3,34.78,NA,38.46,44.17,NA,22.44,NA,#N/A,#N/A
scaffold_82560_1006,3,34.78,NA,NA,NA,NA,22.44,NA,>scaffold_82560,NA
scaffold_82560_1018,3,34.78,NA,NA,NA,NA,22.44,NA,#N/A,#N/A
scaffold_82560_930,3,34.78,NA,NA,NA,NA,22.44,NA,#N/A,#N/A
scaffold_82560_931,3,34.78,NA,NA,NA,NA,22.44,NA,#N/A,#N/A
scaffold_82560_970,3,34.78,NA,NA,NA,NA,22.44,NA,#N/A,#N/A
scaffold_10160_6524,3,35.06,NA,38.46,NA,NA,NA,NA,>scaffold_10160,g13156.t1
scaffold_89673_809,3,35.34,47.37,NA,NA,NA,NA,NA,>scaffold_89673,NA
scaffold_20907_3773,3,35.34,47.37,NA,NA,NA,NA,26.92,>scaffold_20907,g21193.t1
scaffold_13882_622,3,35.34,47.37,NA,NA,36.56,NA,NA,>scaffold_13882,NA
scaffold_13882_772,3,35.34,47.37,NA,NA,36.56,NA,NA,#N/A,#N/A
scaffold_13882_803,3,35.34,47.37,NA,NA,36.56,NA,NA,#N/A,#N/A
scaffold_30577_3814,3,35.34,47.37,NA,NA,NA,NA,26.92,>scaffold_30577,g26327.t1
scaffold_70071_808,3,35.34,47.37,NA,NA,36.56,NA,NA,>scaffold_70071,NA
scaffold_59598_424,3,35.34,48.51,39.6,45.95,NA,22.44,23.93,>scaffold_59598,NA
scaffold_5850_3387,3,35.34,48.51,39.6,45.95,NA,NA,NA,>scaffold_5850,NA
scaffold_1733_151,3,35.34,48.51,39.6,45.95,NA,22.44,23.93,>scaffold_1733,g3439.t1
scaffold_1733_156,3,35.34,48.51,39.6,45.95,NA,22.44,23.93,#N/A,#N/A
scaffold_83752_1086,3,35.34,48.51,39.6,45.95,NA,22.44,23.93,>scaffold_83752,NA
scaffold_52106_445,3,35.34,48.51,39.6,45.95,NA,22.44,23.93,>scaffold_52106,NA
scaffold_83752_1040,3,35.34,48.51,39.6,45.95,NA,NA,NA,#N/A,#N/A
scaffold_32248_1991,3,35.34,49.08,39.6,47.14,NA,NA,NA,>scaffold_32248,NA
scaffold_85748_525,3,35.34,49.08,39.6,45.95,NA,NA,NA,>scaffold_85748,NA
scaffold_27672_3597,3,35.34,NA,38.46,NA,NA,22.44,23.93,>scaffold_27672,NA
scaffold_37792_1500,3,35.34,NA,38.46,45.95,NA,22.44,NA,>scaffold_37792,g29226.t1
scaffold_46451_1146,3,35.34,NA,38.46,47.14,37.16,22.44,23.93,>scaffold_46451,NA
scaffold_56734_1093,3,35.34,NA,38.46,47.14,NA,22.44,NA,>scaffold_56734,NA
scaffold_56734_1132,3,35.34,NA,38.46,47.14,NA,22.44,NA,#N/A,#N/A
scaffold_85748_479,3,35.34,NA,38.46,47.14,36.56,NA,NA,#N/A,#N/A
scaffold_94531_926,3,35.34,NA,38.46,45.95,NA,22.44,NA,>scaffold_94531,NA
scaffold_94531_929,3,35.34,NA,38.46,45.95,NA,22.44,NA,#N/A,#N/A
scaffold_94531_943,3,35.34,NA,38.46,45.95,NA,22.44,NA,#N/A,#N/A
1trimcontig436904,3,35.34,NA,NA,45.95,36.56,NA,NA,>scaffold_28281,g25253.t1
scaffold_108730_32,3,35.34,NA,NA,45.95,NA,NA,NA,>scaffold_108730,NA
scaffold_5795_673,3,35.34,NA,NA,45.95,NA,22.44,25.43,>scaffold_5795,g8774.t1
SCF108252,3,35.34,NA,NA,45.95,NA,NA,NA,>scaffold_18956,NA
SCF128992,3,35.34,NA,NA,45.95,NA,NA,NA,>scaffold_388,g1046.t1
KAN-11440_291,3,35.34,NA,NA,47.14,36.56,NA,NA,>scaffold_18415,NA
SCF78184,3,35.34,NA,NA,47.14,NA,22.44,23.93,>scaffold_6874,g9962.t1
scaffold_127523_575,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_127523,NA
scaffold_42119_2582,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_42119,NA
scaffold_1733_59,3,35.34,NA,NA,NA,36.56,NA,26.92,#N/A,#N/A
scaffold_15346_2911,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_15346,NA
scaffold_35026_462,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_35026,NA
scaffold_15346_2917,3,35.34,NA,NA,NA,36.56,NA,26.92,#N/A,#N/A
scaffold_23737_3834,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_23737,g22900.t1
scaffold_42096_2213,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_42096,NA
scaffold_87905_1015,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_87905,NA
scaffold_92611_523,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_92611,NA
scaffold_98035_705,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_98035,NA
scaffold_98035_706,3,35.34,NA,NA,NA,36.56,NA,26.92,#N/A,#N/A
scaffold_214465_44,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_214465,NA
scaffold_214465_62,3,35.34,NA,NA,NA,36.56,NA,26.92,#N/A,#N/A
SCF22477,3,35.34,NA,NA,NA,36.56,NA,NA,>scaffold_52371,g33496.t1
SCF53750,3,35.34,NA,NA,NA,36.56,NA,NA,>scaffold_46526,g32036.t1
scaffold_35026_341,3,35.34,NA,NA,NA,36.56,NA,26.92,#N/A,#N/A
scaffold_4302_2816,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_4302,g7025.t1
scaffold_35026_366,3,35.34,NA,NA,NA,36.56,NA,26.92,#N/A,#N/A
scaffold_53046_292,3,35.34,NA,NA,NA,36.56,NA,26.92,>scaffold_53046,NA
scaffold_6553_5779,3,35.94,NA,NA,NA,37.16,NA,26.92,>scaffold_6553,g9599.t1
scaffold_6553_5632,3,36.19,49.93,NA,NA,37.16,NA,NA,#N/A,#N/A
scaffold_12185_2899,3,36.19,49.93,41.31,47.14,NA,22.44,23.93,>scaffold_12185,g14900.t1
scaffold_38978_2057,3,36.19,49.93,NA,NA,NA,NA,26.92,>scaffold_38978,NA
scaffold_129960_534,3,36.19,49.93,NA,NA,NA,NA,26.92,>scaffold_129960,NA
scaffold_6553_5803,3,36.19,49.93,NA,NA,37.16,NA,NA,#N/A,#N/A
scaffold_57453_1060,3,36.19,NA,41.31,47.14,NA,22.44,NA,>scaffold_57453,NA
scaffold_3243_9538,3,36.49,50.23,NA,NA,40.74,NA,NA,>scaffold_3243,NA
scaffold_106895_552,3,36.49,50.23,NA,NA,NA,NA,26.92,>scaffold_106895,NA
scaffold_106895_571,3,36.49,50.23,NA,NA,NA,NA,26.92,#N/A,#N/A
scf9025,3,36.53,NA,NA,47.14,40.74,NA,NA,#N/A,#N/A
scaffold_158866_55,3,37.13,NA,41.31,48.93,40.74,NA,NA,>scaffold_158866,NA
scaffold_3243_9598,3,37.13,NA,NA,NA,40.74,NA,26.92,#N/A,#N/A
scaffold_3243_9609,3,38.1,NA,41.31,50.72,40.74,NA,NA,#N/A,#N/A
SCF7845,3,38.92,NA,NA,50.72,NA,NA,NA,>scaffold_32550,NA
scaffold_55507_341,3,38.92,NA,NA,50.72,NA,NA,NA,>scaffold_55507,NA
scaffold_10536_5013,3,38.95,NA,42.16,NA,NA,NA,NA,>scaffold_10536,g13494.t1
scaffold_14492_5182,3,38.95,NA,42.16,50.72,NA,32.95,NA,>scaffold_14492,g16747.t1
scaffold_14492_5220,3,38.95,NA,42.16,50.72,NA,32.95,NA,#N/A,#N/A
scaffold_18760_4623,3,39.27,53.01,NA,NA,43.12,NA,NA,>scaffold_18760,g19791.t1
scaffold_32778_1212,3,39.27,53.01,NA,NA,NA,NA,NA,>scaffold_32778,NA
scaffold_31578_1129,3,39.27,53.01,NA,NA,41.93,NA,NA,>scaffold_31578,g26774.t1
scaffold_32778_1122,3,39.27,53.01,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_3465_5158,3,39.27,53.01,NA,NA,NA,NA,NA,>scaffold_3465,g5933.t1
scaffold_10536_5015,3,39.51,NA,NA,NA,43.12,NA,28.41,#N/A,#N/A
scaffold_24569_3552,3,39.51,NA,NA,NA,43.12,NA,28.41,>scaffold_24569,NA
scaffold_24569_3565,3,39.51,NA,NA,NA,43.12,NA,28.41,#N/A,#N/A
scaffold_24569_3574,3,39.51,NA,NA,NA,43.12,NA,28.41,#N/A,#N/A
scaffold_61162_731,3,40.48,NA,NA,NA,43.12,NA,29.9,>scaffold_61162,NA
scaffold_8287_2876,3,40.48,NA,NA,NA,43.12,NA,29.9,>scaffold_8287,NA
scaffold_8287_2891,3,40.48,NA,NA,NA,43.12,NA,29.9,#N/A,#N/A
scaffold_27872_1456,3,41.08,NA,42.16,53.7,NA,32.95,NA,>scaffold_27872,NA
scaffold_43967_1194,3,42.86,NA,44.13,NA,NA,NA,NA,>scaffold_43967,NA
scaffold_42742_163,3,42.86,NA,44.13,55.48,45.5,NA,NA,>scaffold_42742,NA
scaffold_43967_1225,3,42.86,NA,44.13,NA,NA,NA,NA,#N/A,#N/A
scaffold_43967_1244,3,42.86,NA,44.13,NA,NA,NA,NA,#N/A,#N/A
scaffold_43967_1301,3,42.86,NA,44.13,NA,NA,29.96,29.9,#N/A,#N/A
scaffold_61162_718,3,42.86,NA,44.13,55.48,NA,32.95,NA,#N/A,#N/A
scaffold_5558_3852,3,42.86,NA,NA,NA,45.5,NA,29.9,>scaffold_5558,NA
scaffold_120300_136,3,42.86,NA,NA,NA,45.5,NA,29.9,>scaffold_120300,NA
scaffold_5558_3946,3,42.86,NA,NA,NA,45.5,NA,29.9,#N/A,#N/A
scaffold_5558_3889,3,42.86,NA,NA,NA,45.5,NA,29.9,#N/A,#N/A
scaffold_40993_3056,3,43.05,NA,44.13,57.87,NA,NA,NA,>scaffold_40993,NA
scaffold_18271_1049,3,43.05,NA,44.13,57.87,NA,32.95,NA,>scaffold_18271,g19471.t1
scaffold_18271_1059,3,43.05,NA,44.13,57.87,NA,32.95,NA,#N/A,#N/A
scaffold_46400_1023,3,43.05,NA,44.13,57.87,NA,NA,NA,>scaffold_46400,NA
scaffold_18271_1034,3,43.3,57.04,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_64332_1557,3,43.3,57.04,NA,NA,45.5,NA,NA,>scaffold_64332,NA
scaffold_9368_5923,3,43.3,57.04,NA,NA,NA,NA,NA,>scaffold_9368,NA
scaffold_12440_4793,3,45.51,NA,47.83,61.43,NA,34.44,31.4,>scaffold_12440,g15099.t1
scaffold_200430_94,3,47,60.74,47.83,61.43,NA,40.42,NA,>scaffold_200430,NA
scaffold_27566_82,3,47,60.74,NA,NA,NA,NA,NA,>scaffold_27566,g24909.t1
scaffold_27566_111,3,47,60.74,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_8068_4184,3,47,NA,47.83,61.43,NA,37.43,32.89,>scaffold_8068,NA
scaffold_8068_4160,3,47,NA,47.83,61.43,NA,37.43,32.89,#N/A,#N/A
scaffold_115971_74,3,47,NA,47.83,70.33,NA,NA,NA,>scaffold_115971,NA
scaffold_12440_4869,3,47,NA,47.83,61.43,NA,NA,NA,#N/A,#N/A
scaffold_19176_176,3,47,NA,47.83,61.43,48.48,40.42,NA,>scaffold_19176,g20061.t1
scaffold_49385_369,3,47,NA,47.83,NA,NA,40.42,NA,>scaffold_49385,NA
scaffold_49385_464,3,47,NA,47.83,61.43,NA,NA,NA,#N/A,#N/A
scaffold_8068_4135,3,47,NA,47.83,61.43,NA,NA,NA,#N/A,#N/A
scaffold_8068_4197,3,47,NA,47.83,61.43,NA,37.43,32.89,#N/A,#N/A
scaffold_8068_4262,3,47,NA,47.83,61.43,NA,40.42,NA,#N/A,#N/A
scaffold_55109_963,3,47,NA,NA,65.56,49.67,40.42,32.89,>scaffold_55109,NA
scaffold_55109_918,3,47,NA,NA,65.56,49.67,37.43,32.89,#N/A,#N/A
scaffold_5969_6481,3,47,NA,NA,65.56,NA,40.42,NA,>scaffold_5969,g8951.t1
scaffold_20817_2608,3,47,NA,NA,NA,48.48,NA,32.89,>scaffold_20817,NA
scaffold_55109_909,3,47,NA,NA,NA,NA,40.42,32.89,#N/A,#N/A
scaffold_31278_1677,3,47,NA,NA,NA,NA,NA,32.89,>scaffold_31278,g26641.t1
scaffold_119452_488,3,50.64,64.38,NA,NA,55.61,NA,NA,#N/A,#N/A
scaffold_119452_519,3,50.64,64.38,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_120835_579,3,50.64,64.38,NA,NA,NA,NA,NA,>scaffold_120835,NA
scaffold_11842_6734,3,50.64,64.49,NA,NA,49.67,NA,NA,>scaffold_11842,g14611.t1
scaffold_46587_1825,3,50.64,64.49,NA,NA,49.67,NA,NA,>scaffold_46587,NA
scaffold_46587_1839,3,50.64,64.49,NA,NA,49.67,NA,NA,#N/A,#N/A
scaffold_14059_5352,3,52.94,NA,NA,NA,55.61,NA,NA,>scaffold_14059,NA
scaffold_35616_2275,3,52.94,NA,NA,NA,56.24,NA,32.89,>scaffold_35616,NA
scaffold_35616_2302,3,52.94,NA,NA,NA,56.24,NA,32.89,#N/A,#N/A
scaffold_17219_2740,3,54.12,67.97,NA,NA,NA,NA,NA,>scaffold_17219,g18740.t1
scaffold_889_6975,3,54.12,67.97,NA,NA,NA,NA,NA,>scaffold_889,g2020.t1
scaffold_178384_67,3,54.12,67.97,NA,NA,NA,NA,NA,>scaffold_178384,NA
scaffold_889_7003,3,54.12,67.97,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_52119_1893,3,54.23,67.97,NA,NA,56.24,NA,40.41,>scaffold_52119,NA
scaffold_73112_1219,3,54.23,NA,NA,NA,56.24,NA,NA,>scaffold_73112,NA
scaffold_35753_1600,3,54.23,NA,NA,NA,56.24,NA,NA,>scaffold_35753,g28459.t1
SCF149145,3,54.52,NA,NA,NA,NA,NA,40.41,>scaffold_36670,g28805.t1
scaffold_45226_771,3,54.52,NA,NA,NA,NA,NA,40.41,>scaffold_45226,NA
scaffold_52119_1866,3,54.52,NA,NA,NA,NA,NA,40.41,#N/A,#N/A
scaffold_80957_1393,3,54.52,NA,NA,NA,NA,NA,40.41,>scaffold_80957,NA
scf5304,3,56.18,NA,NA,73.31,56.24,54.16,NA,#N/A,#N/A
scaffold_42994_1177,3,58.58,74.25,NA,NA,56.84,NA,NA,>scaffold_42994,NA
scaffold_43804_404,3,58.58,74.25,NA,NA,NA,NA,NA,>scaffold_43804,g31237.t1
SCF85773,3,58.58,74.25,NA,78.09,56.84,NA,NA,#N/A,#N/A
scaffold_26817_3858,3,60.96,77.95,NA,NA,59.22,NA,46.41,>scaffold_26817,NA
scf142e,3,60.96,77.95,NA,78.09,59.22,NA,NA,#N/A,#N/A
scaffold_267_5809,3,60.96,NA,63.05,78.68,59.22,NA,NA,>scaffold_267,g783.t1
scaffold_72821_1430,3,60.96,NA,63.05,78.09,59.22,54.16,NA,>scaffold_72821,NA
scaffold_10155_3218,3,60.96,NA,63.05,78.68,59.22,NA,NA,>scaffold_10155,g13148.t1
scf10688,3,60.96,NA,NA,78.09,59.22,NA,46.41,#N/A,#N/A
scaffold_13275,3,60.96,NA,NA,78.09,59.22,NA,NA,#N/A,#N/A
scaffold_31246,3,60.96,NA,NA,78.68,NA,NA,NA,#N/A,#N/A
scaffold_880_2215,3,60.96,NA,NA,NA,59.22,NA,NA,>scaffold_880,g2008.t1
scaffold_97874_316,3,60.96,NA,NA,NA,59.22,NA,NA,>scaffold_97874,NA
scaffold_880_2250,3,60.96,NA,NA,NA,59.22,NA,NA,#N/A,#N/A
scaffold_880_2265,3,60.96,NA,NA,NA,59.22,NA,NA,#N/A,#N/A
scaffold_2484_5966,3,60.96,NA,NA,NA,59.22,NA,NA,>scaffold_2484,g4564.t1
scaffold_172106_80,3,60.96,NA,NA,NA,NA,NA,46.41,>scaffold_172106,NA
scaffold_3164_3789,3,60.96,NA,NA,NA,NA,NA,46.41,>scaffold_3164,NA
scaffold_20885_4545,3,62.22,NA,63.05,84.27,NA,NA,NA,>scaffold_20885,NA
scaffold_743_1726,3,62.22,NA,63.05,84.27,NA,NA,NA,>scaffold_743,g1762.t1
scaffold_13482_2452,3,62.75,80.51,NA,NA,61.01,NA,NA,>scaffold_13482,NA
scaffold_1637_7350,3,62.75,NA,63.05,86.11,NA,54.16,NA,>scaffold_1637,g3283.t1
scaffold_1637_7446,3,62.75,NA,63.05,86.11,NA,54.16,NA,#N/A,#N/A
scaffold_41055_2500,3,62.75,NA,63.05,84.54,62.2,54.16,49.39,>scaffold_41055,NA
SCF177450,3,62.75,NA,NA,NA,61.6,NA,46.41,#N/A,#N/A
ct155339,3,62.75,NA,NA,NA,62.2,NA,NA,#N/A,#N/A
scaffold_9359_4141,3,63.52,80.51,NA,NA,62.2,NA,NA,>scaffold_9359,g12370.t1
scaffold_18038_5368,3,66.32,NA,NA,NA,65.77,NA,NA,>scaffold_18038,g19312.t1
scaffold_76369_1171,3,66.64,83.63,NA,NA,NA,NA,NA,>scaffold_76369,NA
scaffold_28523_940,3,68.07,NA,70.77,86.11,68.72,NA,NA,>scaffold_28523,NA
scaffold_12949_2622,3,68.07,NA,NA,NA,69.35,NA,46.41,>scaffold_12949,NA
scaffold_15063_5952,3,68.07,NA,NA,NA,69.35,NA,46.41,>scaffold_15063,g17154.t1
scaffold_15063_5953,3,68.07,NA,NA,NA,69.35,NA,46.41,#N/A,#N/A
scaffold_15063_5954,3,68.07,NA,NA,NA,69.35,NA,46.41,#N/A,#N/A
scaffold_41055_2501,3,68.07,NA,NA,NA,NA,54.16,49.39,#N/A,#N/A
313711_K70,3,68.63,NA,NA,93.88,69.35,54.16,NA,#N/A,#N/A
scaffold_10070_6536,3,68.63,NA,NA,93.88,NA,54.16,NA,>scaffold_10070,g13054.t1
scaffold_41055_2497,3,68.63,NA,NA,NA,NA,60.04,49.39,#N/A,#N/A
scaffold_41493_2983,3,69.87,NA,70.77,NA,NA,61.65,58.45,>scaffold_41493,NA
scaffold_7771_2057,3,69.87,NA,70.77,93.88,NA,61.65,58.45,>scaffold_7771,g10828.t1
scaffold_103556_120,3,70.34,87.33,NA,NA,NA,NA,NA,>scaffold_103556,NA
scaffold_100329_160,3,70.34,87.33,NA,NA,NA,NA,NA,>scaffold_100329,NA
scaffold_103556_142,3,70.34,87.33,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_87414_956,3,70.34,87.33,NA,NA,NA,NA,NA,>scaffold_87414,NA
ct89711,3,70.52,NA,NA,93.88,69.35,NA,NA,#N/A,#N/A
scaffold_8265_2161,3,70.52,NA,NA,93.88,69.35,NA,NA,>scaffold_8265,NA
SCF157992,3,70.52,NA,NA,93.88,69.35,NA,NA,#N/A,#N/A
scaffold_1680_2319,3,70.53,NA,NA,NA,69.35,NA,NA,>scaffold_1680,g3351.t1
scaffold_52491_1681,3,70.53,NA,NA,NA,69.35,NA,NA,>scaffold_52491,g33530.t1
scaffold_9455_7256,3,70.53,NA,NA,NA,69.35,NA,NA,>scaffold_9455,NA
scaffold_52491_1708,3,70.53,NA,NA,NA,69.35,NA,NA,#N/A,#N/A
scaffold_52426_2305,3,71.36,NA,NA,NA,NA,NA,59.94,>scaffold_52426,NA
scaffold_25717_3244,3,71.36,NA,NA,NA,NA,NA,59.94,>scaffold_25717,g23979.t1
scaffold_13372_3087,3,72.9,89.89,75.6,NA,NA,NA,NA,>scaffold_13372,g15874.t1
scaffold_1499_11576,3,74.7,NA,75.6,98.06,NA,NA,NA,>scaffold_1499,g3046.t1
scaffold_57793_951,3,74.7,NA,75.6,NA,73.52,NA,NA,>scaffold_57793,g34664.t1
scaffold_19017,3,74.7,NA,NA,98.06,NA,NA,NA,#N/A,#N/A
SCF153094,3,74.7,NA,NA,98.06,NA,NA,NA,#N/A,#N/A
scaffold_203_8320,3,74.7,NA,NA,NA,73.52,NA,NA,>scaffold_203,g624.t1
scaffold_80063_354,3,75.46,92.45,NA,NA,NA,NA,NA,>scaffold_80063,NA
scaffold_903_507,3,75.46,92.45,NA,NA,NA,NA,NA,>scaffold_903,g2042.t1
scaffold_178690_27,3,75.46,92.45,NA,NA,73.52,NA,NA,>scaffold_178690,NA
scaffold_28308_2499,3,75.46,92.45,NA,NA,73.52,NA,NA,>scaffold_28308,g25268.t1
scaffold_22114_4204,3,76.89,NA,79.59,NA,NA,NA,59.94,>scaffold_22114,g21946.t1
scaffold_44_6824,3,80.01,NA,NA,101.04,78.83,NA,NA,>scaffold_44,g184.t1
scaffold_44_6839,3,80.01,NA,NA,101.04,78.83,NA,NA,#N/A,#N/A
contig480Fb,3,82.61,NA,83.51,NA,80.09,NA,NA,#N/A,#N/A
scaffold_83331_243,3,82.87,NA,83.77,NA,80.09,NA,NA,>scaffold_83331,NA
1trimcontig443603,3,83.66,NA,NA,107.02,80.09,NA,NA,#N/A,#N/A
scaffold_15806_2166,3,85.17,102.83,NA,NA,80.09,NA,NA,>scaffold_15806,g17727.t1
SCF162565,3,85.17,NA,83.51,107.02,84.27,NA,NA,#N/A,#N/A
scaffold_194092_103,3,85.17,NA,83.77,107.02,NA,NA,NA,>scaffold_194092,NA
scaffold_8555_7284,3,85.17,NA,83.77,107.02,NA,NA,NA,>scaffold_8555,g11586.t1
scaffold_8555_7312,3,85.17,NA,83.77,107.02,NA,NA,NA,#N/A,#N/A
scaffold_4882_5968,3,85.84,102.83,NA,NA,NA,NA,NA,>scaffold_4882,g7727.t1
scaffold_1311_1453,3,85.84,102.83,NA,NA,84.27,NA,NA,>scaffold_1311,g2744.t1
scaffold_1311_1468,3,85.84,102.83,NA,NA,84.27,NA,NA,#N/A,#N/A
scaffold_15806_2140,3,85.84,102.83,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_69649_782,3,85.84,102.83,NA,NA,NA,NA,NA,>scaffold_69649,g36855.t1
