method,trait,chr,model,position,nearest_marker,qtl_lod,marker_variance,interval_left,interval_right,population,study,id
scanone,Tacy,3,2011,58.580056,bin_3@58.58cM_scaffold_42994_1177,22.6949338103574,40.3166828042753,50.640052,60.960057,cnj02,self,185
scanone,Tacy,3,2012,52.940053,bin_3@52.94cM_scaffold_14059_5352,17.709293310134,19.0776983068476,50.640052,60.960057,cnj02,self,186
scanone,Tacy,3,2013,54.230054,bin_3@54.23cM_scaffold_52119_1893,21.2934064448481,31.0971921033927,50.640052,60.960057,cnj02,self,187
scanone,UTBM,1,2012,30.270018,bin_1@30.27cM_scaffold_156331_44,10.1008218628708,14.6670756838114,29.700016,35.260027,cnj02,self,188
scanone,UTBM,10,2011,28.970023,bin_10@28.97cM_scaffold_54877_1023,12.3177943163757,11.2052582462905,21.51002,33.96003,cnj02,self,189
scanone,UTBM,11,2011,40.340049,bin_11@40.34cM_scaffold_3947_9416,16.000109206751,15.3583530197361,38.070045,50.060056,cnj02,self,190
scanone,UTBM,11,2012,37.210042,bin_11@37.21cM_scaffold_38945_3027,18.4556179483937,30.812854727095,28.380033,41.67005,cnj02,self,191
scanone,UTBM,11,all-years,47.620055,bin_11@47.62cM_scaffold_33043_2724,14.471944544229,18.269647331866,38.690046,50.060056,cnj02,self,192
scanone,TY,7,2013,33.150044,bin_7@33.15cM_scaffold_53332_313,15.6728952750798,12.0887793047859,32.420042,44.800054,cnj02,self,193
scanone,TY,8,all-years,13.890014,bin_8@13.89cM_scaffold_32595_3575,9.47461869687439,10.3953189643978,13.160013,25.160025,cnj02,self,194
scanone,TY,12,2012,63.060048,bin_12@63.06cM_scaffold_147305_234,13.5861645918798,13.6847828793051,54.960038,67.24005,cnj02,self,195
scanone,TY,12,2013,42.810024,bin_12@42.81cM_scaffold_23451_2236,23.0272740616299,20.1429518255734,38.110019,46.300029,cnj02,self,196
scanone,ULvW,10,2012,51.790055,bin_10@51.79cM_scaffold_6929_8428,7.4095317170834,11.8053742884196,43.210044,54.170057,cnj02,self,197
scanone,ULvW,11,2012,30.320034,bin_11@30.32cM_scaffold_28856_2095,9.0667461969279,14.8393784728527,26.680028,38.690046,cnj02,self,198
scanone,UMFM,6,all-years,30.540034,bin_6@30.54cM_scaffold_28511_3940,10.0118070706333,10.6916867146468,21.610025,35.780043,cnj02,self,199
scanone,UMFM,10,2011,34.830031,bin_10@34.83cM_scaffold_140834_192,15.4240557934913,14.5236786211396,28.970023,38.400039,cnj02,self,200
scanone,UMFM,11,2012,28.380033,bin_11@28.38cM_scaffold_115280_182,16.7437877027295,20.8153454427453,26.070026,39.200047,cnj02,self,201
scanone,UMFM,11,all-years,38.070045,bin_11@38.07cM_scaffold_7181_4242,17.3883614244133,20.6748229473115,37.200041,43.050051,cnj02,self,202
scanone,UL,4,2011,20.23002,bin_4@20.23cM_SCF140628,13.7384772274485,10.6486052650737,17.250016,23.500022,cnj02,self,203
scanone,UL,4,2012,35.640043,bin_4@35.64cM_SCF154541,17.3470944559441,12.44745668944,27.060029,36.850044,cnj02,self,204
scanone,UL,6,2012,34.290042,bin_6@34.29cM_scaffold_6969_6677,17.2939070604781,12.3981104697975,28.210033,40.50005,cnj02,self,205
scanone,UL,6,all-years,43.530053,bin_6@43.53cM_scaffold_54808_1901,17.2633242557572,15.7357177003774,35.950044,45.600059,cnj02,self,206
scanone,UL,9,2013,85.400076,bin_9@85.4cM_scaffold_3471_6487,21.3485344984404,23.0490886957586,84.220074,87.090078,cnj02,self,207
scanone,UL,11,2011,46.900054,bin_11@46.9cM_scaffold_91186_478,18.9502016880537,15.8598358817148,41.67005,50.210057,cnj02,self,208
stepwiseqtl,BBISFY,3,all-years,4.650002,bin_3@4.65cM_scaffold_17610_5409,20.1242007293373,11.8936349019293,1.16,7.030006,cnj02,self,209
stepwiseqtl,BBISFY,3,all-years,52.940053,bin_3@52.94cM_scaffold_14059_5352,19.1010806825775,11.1178505772837,47.000051,56.180055,cnj02,self,210
stepwiseqtl,BBISFY,11,all-years,30.320034,bin_11@30.32cM_scaffold_28856_2095,22.445543873333,13.7366135440644,27.520031,31.230035,cnj02,self,211
stepwiseqtl,BBISFY,12,2012,57.23004,bin_12@57.23cM_scaffold_5160_1395,25.4132536451697,14.1877568312548,54.960038,57.590041,cnj02,self,212
stepwiseqtl,BBITY,8,2012,36.230034,bin_8@36.23cM_scaffold_51424_477,39.6075238560943,10.8813622198813,32.640033,41.090035,cnj02,self,213
stepwiseqtl,BBITY,11,2012,11.070014,bin_11@11.07cM_scaffold_12068_4942,45.286940490439,13.850441667815,9.570013,14.050015,cnj02,self,214
stepwiseqtl,BBITY,11,2012,43.470052,bin_11@43.47cM_scaffold_5369_8651,41.150614689032,11.6368686548204,41.67005,44.640053,cnj02,self,215
stepwiseqtl,BBITY,11,all-years,20.18002,bin_11@20.18cM_scaffold_72495_1231,24.0582820752258,15.7708579031811,17.250019,21.880021,cnj02,self,216
stepwiseqtl,BBITY,12,2012,56.660039,bin_12@56.66cM_SCF116567,38.0799925384156,10.1683638852393,54.960038,57.23004,cnj02,self,217
stepwiseqtl,BBITY,12,all-years,56.660039,bin_12@56.66cM_SCF116567,28.081513829469,19.578849761629,54.960038,57.590041,cnj02,self,218
stepwiseqtl,BBITBM,2,all-years,57.670064,bin_2@57.67cM_scaffold_125738_231,35.260728722384,13.3615621575457,56.670061,58.160066,cnj02,self,219
stepwiseqtl,UBL,3,2012,58.580056,bin_3@58.58cM_scaffold_42994_1177,28.4461946957658,10.1920246764931,52.940053,60.960057,cnj02,self,220
stepwiseqtl,UBL,3,all-years,45.51005,bin_3@45.51cM_scaffold_12440_4793,32.5064295164187,10.1214016390518,43.300049,50.640052,cnj02,self,221
stepwiseqtl,UBL,8,2013,20.980021,bin_8@20.98cM_36394_K70,23.7648496783526,11.0958431682373,17.460018,25.160025,cnj02,self,222
stepwiseqtl,UBL,10,2012,52.800056,bin_10@52.8cM_scaffold_4545_1974,32.4084140687746,12.4689031815769,51.790055,54.170057,cnj02,self,223
stepwiseqtl,UBL,10,2013,44.990047,bin_10@44.99cM_vm72062,23.6000363705703,10.9872437491472,43.210044,45.750048,cnj02,self,224
stepwiseqtl,UBL,10,all-years,51.790055,bin_10@51.79cM_scaffold_6929_8428,34.7696101831556,11.2197712236468,50.000054,54.170057,cnj02,self,225
stepwiseqtl,UBL,11,2013,30.320034,bin_11@30.32cM_scaffold_28856_2095,34.9413652453788,19.9257905124305,28.380033,31.230035,cnj02,self,226
stepwiseqtl,UBBL,5,2011,47.720034,bin_5@47.72cM_scaffold_59748_765,33.2147223970836,13.2367964142775,47.120032,48.310035,cnj02,self,227
stepwiseqtl,UBBL,7,2011,55.500073,bin_7@55.5cM_scaffold_91938_860,36.9914184463448,15.6525184883106,54.490072,57.920077,cnj02,self,228
stepwiseqtl,UBBL,7,all-years,62.02008,bin_7@62.02cM_SCF128015,21.4444466510313,10.8353879498133,59.000078,68.540087,cnj02,self,229
stepwiseqtl,UBM,3,2011,45.51005,bin_3@45.51cM_scaffold_12440_4793,36.7549998319821,12.6792042947,40.480045,47.000051,cnj02,self,230
stepwiseqtl,UBM,3,2012,56.180055,bin_3@56.18cM_scf5304,36.3639135197071,10.6267911697197,52.940053,58.580056,cnj02,self,231
stepwiseqtl,UBM,3,all-years,47.000051,bin_3@47cM_scaffold_200430_94,46.9697202246998,14.9154617927403,45.51005,50.640052,cnj02,self,232
stepwiseqtl,UBM,10,2011,34.830031,bin_10@34.83cM_scaffold_140834_192,36.1092276370103,12.328790916696,32.910029,36.610037,cnj02,self,233
stepwiseqtl,UBM,10,2013,48.940051,bin_10@48.94cM_scaffold_19499_3539,28.093972058437,15.2066007347021,45.750048,51.790055,cnj02,self,234
stepwiseqtl,UBM,10,all-years,48.940051,bin_10@48.94cM_scaffold_19499_3539,40.6837096342931,11.6548247595924,45.750048,50.000054,cnj02,self,235
stepwiseqtl,UBM,11,2012,30.320034,bin_11@30.32cM_scaffold_28856_2095,58.4030797967293,26.0826675280746,28.380033,31.230035,cnj02,self,236
stepwiseqtl,UBM,11,2013,38.070045,bin_11@38.07cM_scaffold_7181_4242,29.4102287467142,16.2974543081853,30.320034,39.200047,cnj02,self,237
stepwiseqtl,UBM,11,all-years,30.320034,bin_11@30.32cM_scaffold_28856_2095,55.3060575871222,20.2041478353436,28.380033,31.230035,cnj02,self,238
stepwiseqtl,UBW,1,all-years,100.35009,bin_1@100.35cM_scaffold_81716_1234,21.8735057599232,10.4277320669723,97.960089,102.540091,cnj02,self,239
stepwiseqtl,UBW,4,2013,29.890034,bin_4@29.89cM_scaffold_195_14929,35.2875783488592,15.2217589301138,29.330033,32.320035,cnj02,self,240
stepwiseqtl,UBW,6,all-years,3.020005,bin_6@3.02cM_SCF124927,22.9961972083872,11.1504103393938,0.900002,4.470008,cnj02,self,241
stepwiseqtl,UBW,9,2013,58.28005,bin_9@58.28cM_scaffold_184159_239,31.3035366366213,12.5588647805761,57.180049,59.090051,cnj02,self,242
stepwiseqtl,UBW,10,all-years,28.150021,bin_10@28.15cM_scaffold_173749_80,32.0478640427098,17.8657987449515,21.51002,29.810024,cnj02,self,243
stepwiseqtl,UBW,11,2012,30.320034,bin_11@30.32cM_scaffold_28856_2095,25.3306299267187,11.7145647547814,28.380033,31.230035,cnj02,self,244
stepwiseqtl,UBW,11,all-years,39.890048,bin_11@39.89cM_SCF21596,22.3332341538154,10.7209735705327,38.070045,43.050051,cnj02,self,245
stepwiseqtl,UBW,12,2013,57.23004,bin_12@57.23cM_scaffold_5160_1395,34.0000482724885,14.3248299224486,56.660039,57.590041,cnj02,self,246
stepwiseqtl,Brix,3,2013,34.780033,bin_3@34.78cM_scaffold_2087_7048,22.9038313966093,10.2104566921737,32.77003,36.190036,cnj02,self,247
stepwiseqtl,Brix,4,2013,35.640043,bin_4@35.64cM_SCF154541,22.6943013579015,10.0802684772121,29.890034,43.86005,cnj02,self,248
stepwiseqtl,Brix,9,2013,84.810075,bin_9@84.81cM_scaffold_10644_3379,25.4235833949294,11.8443915435375,81.240073,85.400076,cnj02,self,249
stepwiseqtl,Brix,12,2013,56.660039,bin_12@56.66cM_SCF116567,23.9633999855926,10.8819602922428,54.960038,57.23004,cnj02,self,250
stepwiseqtl,UCD,1,2012,29.040015,bin_1@29.04cM_scaffold_35977_2889,18.7619909065007,11.3948478382518,25.470014,29.980017,cnj02,self,251
stepwiseqtl,UCD,4,2013,26.790028,bin_4@26.79cM_SCF6530,34.2776694509252,17.4607474964053,26.490026,27.060029,cnj02,self,252
stepwiseqtl,UCLP,3,2012,30.260029,bin_3@30.26cM_scaffold_90420_584,23.5184423561341,12.4441552078487,28.640026,32.77003,cnj02,self,253
stepwiseqtl,UCLP,6,all-years,75.660098,bin_6@75.66cM_scaffold_7268_8243,20.7521592193693,12.9797772251233,73.280095,79.2401,cnj02,self,254
stepwiseqtl,UCLP,10,2011,52.800056,bin_10@52.8cM_scaffold_4545_1974,38.602709713855,18.1862253644014,51.790055,54.170057,cnj02,self,255
stepwiseqtl,UCLP,11,2012,38.690046,bin_11@38.69cM_scaffold_75872_1322,25.6153605601862,14.0609104114651,37.210042,41.67005,cnj02,self,256
stepwiseqtl,UCLS,2,2013,47.790044,bin_2@47.79cM_ct89348,43.3160939782844,14.6064550566769,43.420042,49.290046,cnj02,self,257
stepwiseqtl,UCLS,3,2011,36.190036,bin_3@36.19cM_scaffold_6553_5632,25.8165662822192,10.181647649016,35.340034,37.130039,cnj02,self,258
stepwiseqtl,UCLS,3,2012,36.190036,bin_3@36.19cM_scaffold_6553_5632,33.6053541188415,15.7048440530574,35.340034,36.490037,cnj02,self,259
stepwiseqtl,UCLS,3,all-years,60.960057,bin_3@60.96cM_scaffold_26817_3858,37.6998101886554,13.109033122855,58.580056,62.220058,cnj02,self,260
stepwiseqtl,UCLS,6,2011,7.850012,bin_6@7.85cM_scaffold_430_12130,29.4891578266776,12.307736590228,5.770011,15.880017,cnj02,self,261
stepwiseqtl,UCLS,6,2012,74.470097,bin_6@74.47cM_scaffold_22544_4282,29.7878394290416,12.9926448981802,73.280095,79.2401,cnj02,self,262
stepwiseqtl,UCLS,6,all-years,5.770011,bin_6@5.77cM_scaffold_6371_7692,37.0298043266283,12.7387144388919,3.690007,7.850012,cnj02,self,263
stepwiseqtl,UCLS,11,2011,35.390036,bin_11@35.39cM_scaffold_1773_837,32.0018430101378,13.8906839131299,31.230035,37.500044,cnj02,self,264
stepwiseqtl,UKEC,3,all-years,29.670027,bin_3@29.67cM_scaffold_42014_1292,29.0883156548194,19.258231066852,28.640026,32.77003,cnj02,self,265
stepwiseqtl,UKEC,5,2012,58.470049,bin_5@58.47cM_scaffold_35159_2482,23.5555109747012,11.0028162263933,54.270044,60.97005,cnj02,self,266
stepwiseqtl,UKEC,8,2011,57.030059,bin_8@57.03cM_scaffold_21353_2418,33.6467283783082,19.6894353478958,54.640058,58.840061,cnj02,self,267
stepwiseqtl,UKEC,8,2012,51.74005,bin_8@51.74cM_scaffold_34921_1026,23.0921490037124,10.6996468519194,50.160048,52.410053,cnj02,self,268
stepwiseqtl,UKEC,8,all-years,58.05006,bin_8@58.05cM_scaffold_126870_338,24.8214740356817,15.3896279892044,53.140055,58.840061,cnj02,self,269
stepwiseqtl,UKEC,9,2011,77.130067,bin_9@77.13cM_scaffold_27798_3359,29.895740292194,16.4957464455215,75.260066,80.890072,cnj02,self,270
stepwiseqtl,UKEC,9,2013,84.810075,bin_9@84.81cM_scaffold_10644_3379,20.715731516921,12.6113078007672,84.220074,85.400076,cnj02,self,271
stepwiseqtl,UKEC,9,2013,85.400076,bin_9@85.4cM_scaffold_3471_6487,19.2014238310354,11.3896187325632,84.810075,87.090078,cnj02,self,272
stepwiseqtl,UKEC,9,all-years,81.240073,bin_9@81.24cM_scaffold_4532_4509,23.9119855518069,14.6219181732644,80.040071,84.220074,cnj02,self,273
stepwiseqtl,UKEC,11,2011,26.680028,bin_11@26.68cM_scaffold_14916_2838,26.3007608714115,13.7281564251846,26.070026,30.320034,cnj02,self,274
stepwiseqtl,UKEC,11,2013,20.18002,bin_11@20.18cM_scaffold_72495_1231,20.5990740505041,12.5151326785671,17.250019,21.880021,cnj02,self,275
stepwiseqtl,UKLvW,2,all-years,73.480084,bin_2@73.48cM_scaffold_9595_7405,27.9040792399947,10.3488979008632,67.310081,75.390087,cnj02,self,276
stepwiseqtl,UKLvW,3,all-years,30.230028,bin_3@30.23cM_scaffold_36500_3209,36.1287596087448,15.2442158822947,28.640026,32.77003,cnj02,self,277
stepwiseqtl,UKLvW,5,2012,65.400055,bin_5@65.4cM_scaffold_25855_3062,22.2932543520913,10.9374954001021,63.170054,67.620056,cnj02,self,278
stepwiseqtl,UKLvW,8,2011,51.810051,bin_8@51.81cM_scaffold_48237,31.3099463803089,15.2384459488783,50.160048,53.730056,cnj02,self,279
stepwiseqtl,UKLvW,8,2012,52.330052,bin_8@52.33cM_scaffold_31968_1730,26.0242785292578,13.6289268453789,50.160048,57.030059,cnj02,self,280
stepwiseqtl,UKLvW,8,all-years,58.05006,bin_8@58.05cM_scaffold_126870_338,34.7675876318131,14.3559665377474,54.640058,58.840061,cnj02,self,281
stepwiseqtl,UKLvW,9,2011,85.400076,bin_9@85.4cM_scaffold_3471_6487,26.0894543891922,11.7116027969758,84.220074,87.090078,cnj02,self,282
stepwiseqtl,UKLvW,9,2013,88.510082,bin_9@88.51cM_scaffold_17431_1305,16.6705341036247,13.3976562721021,87.340079,89.290083,cnj02,self,283
stepwiseqtl,UKLvW,11,2011,26.680028,bin_11@26.68cM_scaffold_14916_2838,23.9477859106381,10.4045400644532,26.070026,30.320034,cnj02,self,284
stepwiseqtl,UKLvW,11,2013,20.18002,bin_11@20.18cM_scaffold_72495_1231,24.9242194010004,23.0908939813315,17.250019,21.880021,cnj02,self,285
stepwiseqtl,UKLvW,11,all-years,30.320034,bin_11@30.32cM_scaffold_28856_2095,28.026168117532,10.4137895900964,28.380033,31.230035,cnj02,self,286
stepwiseqtl,UKSO,1,2011,78.60007,bin_1@78.6cM_scaffold_29336_265,30.8893028326671,14.5127938526279,74.280063,81.390071,cnj02,self,287
stepwiseqtl,UKSO,1,all-years,76.170065,bin_1@76.17cM_scf11l,19.0508682247005,11.7202435103739,74.280063,81.390071,cnj02,self,288
stepwiseqtl,UKSO,2,all-years,75.430088,bin_2@75.43cM_scaffold_7400_6952,17.9673167957249,10.8770796772687,67.310081,82.19009,cnj02,self,289
stepwiseqtl,UKSO,3,all-years,34.780033,bin_3@34.78cM_scaffold_2087_7048,17.5112160708917,10.5295871487977,28.640026,36.190036,cnj02,self,290
stepwiseqtl,UKSO,11,2011,44.640053,bin_11@44.64cM_scaffold_66939_1710,30.8194830898751,14.4642120607325,43.470052,46.900054,cnj02,self,291
stepwiseqtl,UKSO,12,2012,57.23004,bin_12@57.23cM_scaffold_5160_1395,25.1954657261706,10.7764983538079,54.960038,57.590041,cnj02,self,292
stepwiseqtl,UKTO,2,2011,37.940034,bin_2@37.94cM_scaffold_2126_10221,38.1984080214417,12.6652625970208,36.020031,39.130035,cnj02,self,293
stepwiseqtl,UKTO,4,2011,28.700032,bin_4@28.7cM_scaffold_3474_6975,36.1763533318401,11.6130796015273,28.130031,32.320035,cnj02,self,294
stepwiseqtl,UKTO,4,2012,27.34003,bin_4@27.34cM_scaffold_23760_3475,26.2989127907261,15.188500008924,25.550025,28.700032,cnj02,self,295
stepwiseqtl,UKTO,9,2011,6.820007,bin_9@6.82cM_scaffold_48060_1390,42.2867106236954,14.9793738634767,1.130001,11.64001,cnj02,self,296
stepwiseqtl,UKTO,9,2013,80.890072,bin_9@80.89cM_scaffold_32504_717,24.627133039238,17.2988809907831,77.91007,84.220074,cnj02,self,297
stepwiseqtl,UKTO,11,2011,57.760069,bin_11@57.76cM_scaffold_64205_1675,41.2274990964129,14.3547159878222,56.580066,58.35007,cnj02,self,298
stepwiseqtl,UKTO,11,all-years,7.47001,bin_11@7.47cM_scaffold_2033_8836,28.0244841399442,15.6785391208441,6.870009,9.570013,cnj02,self,299
stepwiseqtl,UKTO,12,2012,46.97003,bin_12@46.97cM_scaffold_6159_7441,28.828968676614,17.4146734128387,44.600028,48.760031,cnj02,self,300
stepwiseqtl,UKUX,3,2011,26.260024,bin_3@26.26cM_scaffold_54785_1107,31.2764109756632,20.465217737052,25.970023,28.640026,cnj02,self,301
stepwiseqtl,UKUX,3,2012,29.670027,bin_3@29.67cM_scaffold_42014_1292,34.0863978295663,14.8623854522611,28.640026,30.260029,cnj02,self,302
stepwiseqtl,UKUX,3,all-years,29.670027,bin_3@29.67cM_scaffold_42014_1292,36.0231047158274,24.9910875113006,28.640026,30.260029,cnj02,self,303
stepwiseqtl,UKUX,8,2011,51.74005,bin_8@51.74cM_scaffold_34921_1026,23.8604122891433,13.9260484146241,50.160048,52.410053,cnj02,self,304
stepwiseqtl,UKUX,8,2012,54.640058,bin_8@54.64cM_scaffold_67225_1543,28.3264324950072,11.1321675341423,53.140055,58.05006,cnj02,self,305
stepwiseqtl,UKUX,9,all-years,81.240073,bin_9@81.24cM_scaffold_4532_4509,20.4942754270608,11.1839664631365,77.91007,84.220074,cnj02,self,306
stepwiseqtl,UKUX,10,2012,32.910029,bin_10@32.91cM_scaffold_12381_1637,28.5302330673939,11.2530595694266,28.270022,33.96003,cnj02,self,307
stepwiseqtl,UKUX,11,2011,26.670027,bin_11@26.67cM_SCF81294,19.1307658741657,10.3987461058658,24.540025,28.380033,cnj02,self,308
stepwiseqtl,UKUX,11,2013,37.500044,bin_11@37.5cM_SCF183590,17.8003586586707,11.0925761240201,31.230035,38.690046,cnj02,self,309
stepwiseqtl,UKUY,2,2012,37.940034,bin_2@37.94cM_scaffold_2126_10221,43.0354053022486,22.0786170665277,36.020031,39.720036,cnj02,self,310
stepwiseqtl,UKUY,8,2011,57.030059,bin_8@57.03cM_scaffold_21353_2418,26.9653878381835,10.8682498832951,54.640058,58.840061,cnj02,self,311
stepwiseqtl,UKUY,9,2011,6.820007,bin_9@6.82cM_scaffold_48060_1390,34.4019870432321,15.5716345854193,4.550004,11.64001,cnj02,self,312
stepwiseqtl,UDM,1,2012,32.870022,bin_1@32.87cM_scaffold_5152_276,26.0991636028649,10.1342872602083,32.270021,33.470023,cnj02,self,313
stepwiseqtl,UDM,2,2012,43.300041,bin_2@43.3cM_scaffold_1741_1992,27.745934815199,11.092475018584,42.11004,47.400043,cnj02,self,314
stepwiseqtl,UDM,3,2011,34.750032,bin_3@34.75cM_scaffold_113156_448,32.6110509430193,12.4621827124735,30.230028,35.340034,cnj02,self,315
stepwiseqtl,UDM,3,2013,36.190036,bin_3@36.19cM_scaffold_6553_5632,25.0466613446577,10.7396304582273,35.340034,38.10004,cnj02,self,316
stepwiseqtl,UDM,5,2012,47.720034,bin_5@47.72cM_scaffold_59748_765,26.7647072923369,10.5156377030718,45.18003,50.350037,cnj02,self,317
stepwiseqtl,UDM,7,2011,52.940068,bin_7@52.94cM_scaffold_196647_142,29.5531679762844,10.7665808740663,52.200066,55.500073,cnj02,self,318
stepwiseqtl,UDM,12,2013,49.400033,bin_12@49.4cM_scaffold_40948_2457,28.088055286578,12.7089781286007,46.97003,53.770035,cnj02,self,319
stepwiseqtl,MFM,3,2011,45.51005,bin_3@45.51cM_scaffold_12440_4793,29.0862414637057,11.1205298412921,43.300049,47.000051,cnj02,self,320
stepwiseqtl,MFM,3,2012,28.640026,bin_3@28.64cM_scaffold_13388_3745,30.7159336211116,10.2205050922349,26.570025,29.670027,cnj02,self,321
stepwiseqtl,MFM,3,2013,30.230028,bin_3@30.23cM_scaffold_36500_3209,34.8783240305829,17.2238769837148,28.640026,30.260029,cnj02,self,322
stepwiseqtl,MFM,3,all-years,45.51005,bin_3@45.51cM_scaffold_12440_4793,34.2082887894308,19.8852207420208,42.860047,50.640052,cnj02,self,323
stepwiseqtl,MFM,10,2011,52.800056,bin_10@52.8cM_scaffold_4545_1974,43.0117964206843,20.5278000317071,51.790055,54.170057,cnj02,self,324
stepwiseqtl,MFM,10,2012,31.250026,bin_10@31.25cM_scaffold_17629_5187,49.7604144872488,23.6489887326321,28.270022,33.96003,cnj02,self,325
stepwiseqtl,MFM,10,all-years,39.030042,bin_10@39.03cM_scaffold_21095_4899,29.5625693140294,15.9775611119954,37.250038,41.870043,cnj02,self,326
stepwiseqtl,MFM,11,all-years,24.540025,bin_11@24.54cM_scaffold_113473_247,29.9993108297152,16.3240935979364,23.860023,30.320034,cnj02,self,327
stepwiseqtl,UNAB,1,2013,44.610037,bin_1@44.61cM_scaffold_4040_6982,30.1558887698649,13.0047893248836,41.320035,45.780038,cnj02,self,328
stepwiseqtl,UNAB,3,2011,35.340034,bin_3@35.34cM_scaffold_89673_809,35.563569648226,18.1908519450083,34.780033,36.190036,cnj02,self,329
stepwiseqtl,UNAB,3,2013,39.510044,bin_3@39.51cM_scaffold_10536_5015,36.9214321299649,18.0107496388145,39.270043,41.080046,cnj02,self,330
stepwiseqtl,UNAB,3,all-years,36.190036,bin_3@36.19cM_scaffold_6553_5632,43.1592361333923,20.0361987587837,35.940035,36.490037,cnj02,self,331
stepwiseqtl,UNAB,7,all-years,62.02008,bin_7@62.02cM_SCF128015,28.5169681534158,10.4870093792322,60.620079,64.690084,cnj02,self,332
stepwiseqtl,UNAB,9,2013,87.090078,bin_9@87.09cM_scaffold_57514_1484,35.5682888579489,16.9235001787062,87.010077,87.340079,cnj02,self,333
stepwiseqtl,UNAB,12,2011,54.960038,bin_12@54.96cM_scaffold_2841_5173,26.0324984567129,11.4747658929219,50.470034,57.23004,cnj02,self,334
stepwiseqtl,UNAB,12,2013,44.600028,bin_12@44.6cM_scaffold_84682_293,25.3815989341039,10.0554870636078,42.810024,46.300029,cnj02,self,335
stepwiseqtl,UNAF,3,2011,40.480045,bin_3@40.48cM_scaffold_61162_731,43.8069725274182,11.8852647347215,39.270043,42.860047,cnj02,self,336
stepwiseqtl,UNAF,9,2013,77.91007,bin_9@77.91cM_scaffold_70449_214,20.0555376205377,10.1931521525365,75.260066,80.040071,cnj02,self,337
stepwiseqtl,UNAF,11,2011,11.070014,bin_11@11.07cM_scaffold_12068_4942,44.526542084123,12.2239508906663,8.660012,14.050015,cnj02,self,338
stepwiseqtl,UNAF,11,2011,62.590077,bin_11@62.59cM_scaffold_7424_3177,42.1241850186282,11.1188114992007,60.900076,64.540078,cnj02,self,339
stepwiseqtl,UNAF,11,2013,23.860023,bin_11@23.86cM_scaffold_101041_374,28.1132386343514,16.4499516901352,20.18002,26.070026,cnj02,self,340
stepwiseqtl,UNAF,11,all-years,8.660012,bin_11@8.66cM_scaffold_17462_4134,38.8014934753941,19.4543983044027,7.47001,9.570013,cnj02,self,341
stepwiseqtl,UNAF,11,all-years,39.200047,bin_11@39.2cM_scaffold_75872_1296,29.2345718953273,12.6007931736104,38.070045,41.67005,cnj02,self,342
stepwiseqtl,UNB,10,all-years,2.990003,bin_10@2.99cM_scaffold_7448_397,26.3621296282311,10.6868041862861,2.960002,16.730014,cnj02,self,343
stepwiseqtl,UNB,11,2011,44.640053,bin_11@44.64cM_scaffold_66939_1710,60.0398070093859,27.2604034717796,43.470052,46.900054,cnj02,self,344
stepwiseqtl,UN0,12,2013,54.390037,bin_12@54.39cM_scaffold_70077_1397,38.9601845589248,12.6810136148582,53.770035,54.960038,cnj02,self,345
stepwiseqtl,UNP,1,all-years,58.280049,bin_1@58.28cM_scaffold_23359_736,36.6868635479299,13.5532419111126,56.220046,60.76005,cnj02,self,346
stepwiseqtl,UNP,7,2012,24.570038,bin_7@24.57cM_scaffold_47665_2055,26.5139944670883,12.4469664315848,17.770026,28.56004,cnj02,self,347
stepwiseqtl,UNP,9,2013,87.80008,bin_9@87.8cM_scaffold_70962_1187,29.4224839174289,12.5081862152775,87.340079,89.290083,cnj02,self,348
stepwiseqtl,UNP,11,2013,31.230035,bin_11@31.23cM_scaffold_62302_445,41.7282272966497,22.2391929678181,30.320034,35.390036,cnj02,self,349
stepwiseqtl,UNP,11,all-years,23.860023,bin_11@23.86cM_scaffold_101041_374,50.8408400684391,23.6831806850299,21.880021,26.070026,cnj02,self,350
stepwiseqtl,UNS,3,2013,88.740077,bin_3@88.74cM_SCF58861,19.6716364645529,12.2612282925738,87.550075,92.400079,cnj02,self,351
stepwiseqtl,UNS,5,2011,89.920078,bin_5@89.92cM_scaffold_19553_2642,32.2438346218303,10.2921588897125,88.920076,90.41008,cnj02,self,352
stepwiseqtl,UNS,5,all-years,90.41008,bin_5@90.41cM_scaffold_37436_3330,23.2986113580353,10.3431263920528,89.920078,93.090082,cnj02,self,353
stepwiseqtl,UNS,6,2011,75.660098,bin_6@75.66cM_scaffold_7268_8243,39.202753639966,13.9782329337855,74.470097,79.2401,cnj02,self,354
stepwiseqtl,UNS,6,all-years,51.280075,bin_6@51.28cM_SCF3427,32.0077334318668,16.2518450634,49.790074,53.070077,cnj02,self,355
stepwiseqtl,UNS,7,2012,44.800054,bin_7@44.8cM_scaffold_3117_7035,25.9501991262083,13.5218115966209,38.260048,47.540057,cnj02,self,356
stepwiseqtl,UNS,10,2011,32.910029,bin_10@32.91cM_scaffold_12381_1637,37.4444543194901,12.9794872261665,28.970023,33.96003,cnj02,self,357
stepwiseqtl,UNS,10,all-years,19.720016,bin_10@19.72cM_SCF189657,29.7567096769591,14.5869834633717,18.530015,21.010018,cnj02,self,358
stepwiseqtl,UNS,11,2012,17.250019,bin_11@17.25cM_scaffold_26864_4373,30.8045625782722,17.5014468056659,15.290017,20.18002,cnj02,self,359
stepwiseqtl,UNS,12,2013,54.960038,bin_12@54.96cM_scaffold_2841_5173,18.6381902202502,11.4136594696807,54.110036,57.590041,cnj02,self,360
